NPSCompany,NPSIndustry,NPSScore,FortuneYear,FortuneRank,FortuneCompany,FortuneRevenue($ millions),FortuneProfit($ millions)
,,,2020,145,Sinopharm,70690,912.2
,,,2020,146,ArcelorMittal,70615,-2454
,,,2020,147,Country Garden Holdings,70335,5724.9
,,,2020,148,FedEx,69693,540
,,,2020,149,MetLife,69620,5899
,,,2020,150,Disney,69570,11054
,,,2020,151,Indian Oil,69246,-126
,,,2020,152,China Evergrande Group,69127,2501.3
,,,2020,153,Panasonic,68897,2076
,,,2020,154,China North Industries Group,68714,1283.7
,,,2020,155,Brookfield Asset Management,67826,2807
,,,2020,156,Procter & Gamble,67684,3897
,,,2020,157,PowerChina,67371,772.8
,,,2020,158,China Telecommunications,67365,1802.6
,,,2020,159,Engie,67220,1101.3
,,,2020,160,PepsiCo,67161,7314
,,,2020,161,Mitsubishi UFJ Financial Group,67135,4857.8
,,,2020,162,Bank of Communications,66564,11186.4
,,,2020,163,Aviation Industry Corp. of China,65909,578.1
,,,2020,164,ChemChina,65767,-1250.9
,,,2020,165,Dai-ichi Life Holdings,65434,298.3
,,,2020,166,Humana,64888,2707
,,,2020,167,Prudential Financial,64807,4186
,,,2020,168,Archer Daniels Midland (ADM),64656,1379
,,,2020,169,Equinor,64357,1843
,,,2020,170,Lloyds Banking Group,64297,3732.5
,,,2020,171,Roche Group,63434,13429.8
,,,2020,172,Mitsui,63327,3601
,,,2020,173,Marubeni,62799,-1816.1
,,,2020,174,Albertsons,62455,466.4
,,,2020,175,Renault,62160,-157.8
,,,2020,176,Greenland Holding Group,61965,2134.1
,,,2020,177,Toyota Tsusho,61570,1246.8
,,,2020,178,Seven & I Holdings,60952,2001.5
,,,2020,179,Sysco,60114,1674.3
,,,2020,180,Christian Dior,60071,3288.4
,,,2020,181,Manulife Financial,59969,4222
,,,2020,182,Lockheed Martin,59812,6230
,,,2020,183,Alimentation Couche-Tard,59118,1833.9
,,,2020,184,HP,58756,3152
,,,2020,185,Unilever,58179,6295.8
,,,2020,186,Petronas,58027,7975.1
,,,2020,187,China National Building Material Group,57626,-104.9
,,,2020,188,Tokyo Electric Power,57407,466.4
,,,2020,189,China Merchants Bank,57252,13442.5
,,,2020,190,Oil & Natural Gas,57171,1538.4
,,,2020,191,China Poly Group,57147,2030.9
,,,2020,192,SociÃ©tÃ© GÃ©nÃ©rale,56852,3635.3
,,,2020,193,China Pacific Insurance (Group),55800,4015.5
,,,2020,194,POSCO,55592,1599.8
,,,2020,195,Vinci,54788,3648.8
,,,2020,196,ELO Group,54672,-1637.5
,,,2020,197,Tencent Holdings,54613,13506.6
,,,2020,198,Nippon Steel Corporation,54465,-3968.9
,,,2020,199,CNP Assurances,54365,1580.1
,,,2020,200,Energy Transfer,54213,3592
,,,2020,201,TelefÃ³nica,54197,1278.2
,,,2020,202,Goldman Sachs Group,53922,8466
,,,2020,203,Morgan Stanley,53823,9042
,,,2020,204,Caterpillar,53800,6093
,,,2020,205,Anheuser-Busch InBev,53723,9171
,,,2020,206,Guangzhou Automobile Industry Group,53662,564.5
,,,2020,207,LG Electronics,53464,26.8
,,,2020,208,China Vanke,53253,5626.7
,,,2020,209,AmÃ©rica MÃ³vil,52323,3518
,,,2020,210,Wuchan Zhongda Group,51954,395.7
,,,2020,211,Cisco Systems,51904,11621
,,,2020,212,Shandong Energy Group,51893,729.6
,,,2020,213,JBS,51859,1538.7
,,,2020,214,Bayer,51807,4578.9
,,,2020,215,Pfizer,51750,16273
,,,2020,216,ItaÃº Unibanco Holding,51728,6874.7
,,,2020,217,Aluminum Corp. of China,51649,273.2
,,,2020,218,HBIS Group,51345,-94.1
,,,2020,219,HCA Healthcare,51336,3505
,,,2020,220,Shanghai Pudong Development Bank,51313,8507.1
,,,2020,221,State Bank of India,51091,2788.2
,,,2020,222,Industrial Bank,50945,9534.4
,,,2020,223,Royal Bank of Canada,50863,9678
,,,2020,224,Lenovo Group,50716,665.1
,,,2020,225,Novartis,50486,11732
,,,2020,226,Tokio Marine Holdings,50270,2389.2
,,,2020,227,Korea Electric Power,50257,-2012.7
,,,2020,228,Vodafone Group,49960,-1022
,,,2020,229,Kia,49894,1567.4
,,,2020,230,Continental,49783,-1371.1
,,,2020,231,AIG,49746,3348
,,,2020,232,Deutsche Bahn,49729,746.5
,,,2020,233,Swiss Re,49314,727
,,,2020,234,Xiamen C&D,49170,667.3
,,,2020,235,China Merchants Group,49126,5233.1
,,,2020,236,Idemitsu Kosan,48892,-211
,,,2020,237,Sumitomo Mitsui Financial Group,48880,6474.1
,,,2020,238,Sumitomo,48746,1576.1
,,,2020,239,China Minsheng Banking,48528,7790.3
,,,2020,240,Sberbank,48340,13059.6
,,,2020,241,KDDI,48171,5884.4
,,,2020,242,Groupe BPCE,47911,3391.3
,,,2020,243,Zhejiang Geely Holding Group,47886,1231.9
,,,2020,244,Saint-Gobain,47650,1573.7
,,,2020,245,Repsol,47544,-4271.1
,,,2020,246,MS&AD Insurance Group Holdings,47537,1315.6
,,,2020,247,Denso,47400,626.4
,,,2020,248,ThyssenKrupp,47358,-342.8
,,,2020,249,Orange,47275,3364.5
,,,2020,250,AIA Group,47242,6648
,,,2020,251,American Express,47020,6759
,,,2020,252,Delta Air Lines,47007,4767
,,,2020,253,China Everbright Group,46957,1989.6
,,,2020,254,Banco Bilbao Vizcaya Argentaria,46892,3930.8
,,,2020,255,E.ON,46861,1752.8
,,,2020,256,Merck,46840,9843
,,,2020,257,American Airlines Group,45768,1686
,,,2020,258,Charter Communications,45764,1668
,,,2020,259,Volvo,45690,3793
,,,2020,260,Woolworths Group,45524,1925.2
,,,2020,261,BHP Group,45139,8306
,,,2020,262,Finatis,45045,-615.6
,,,2020,263,Allstate,44675,4847
,,,2020,264,COSCO Shipping,44655,1086.6
,,,2020,265,Shaanxi Yanchang Petroleum (Group),44564,215.2
,,,2020,266,Toronto-Dominion Bank,44502,8781
,,,2020,266,China Huaneng Group,44502,186.5
,,,2020,267,Banco Bradesco,44491,5330.5
,,,2020,268,Pegatron,44207,625
,,,2020,269,New York Life Insurance,44117,1003.8
,,,2020,270,Talanx,44020,1033.1
,,,2020,271,Nationwide,43982,829.7
,,,2020,272,Shaanxi Coal & Chemical Industry,43798,119.5
,,,2020,273,ACS,43706,1076.7
,,,2020,274,Best Buy,43638,1541
,,,2020,275,United Airlines Holdings,43259,3009
,,,2020,276,Hanwha,43258,77.2
,,,2020,277,Liberty Mutual Insurance Group,43228,1044
,,,2020,278,Accenture,43215,4779.1
,,,2020,279,Rio Tinto Group,43165,8010
,,,2020,280,Sinomach,43122,452.3
,,,2020,281,GlaxoSmithKline,43073,5927.4
,,,2020,282,Dow,42951,-1359
,,,2020,283,Xiamen ITG Holding Group,42790,41.8
,,,2020,284,Wilmar International,42641,1293.4
,,,2020,285,Bouygues,42543,1325.2
,,,2020,286,Tyson Foods,42405,2022
,,,2020,287,Banco do Brasil,42180,4157.6
,,,2020,288,Sanofi,42119,3140.6
,,,2020,289,China United Network Communications,42052,721.2
,,,2020,290,Deutsche Bank,41780,-6032.8
,,,2020,291,TJX,41717,3272.2
,,,2020,292,UBS Group,41482,4304
,,,2020,293,Metro,41371,-142.1
,,,2020,294,Shandong Energy Group,41323,274.9
,,,2020,295,Cedar Holdings Group,41277,122.1
,,,2020,296,Bunge,41140,-1280
,,,2020,297,XMXYG,41135,220
,,,2020,298,M&G,41076,1429.2
,,,2020,299,Mitsubishi Electric,41045,2040.4
,,,2020,300,Jardine Matheson,40922,2838
,,,2020,301,ZF Friedrichshafen,40873,391.7
,,,2020,302,Iberdrola,40783,3812.5
,,,2020,303,Lufthansa Group,40768,1357.7
,,,2020,304,China National Aviation Fuel Group,40487,568.7
,,,2020,305,TIAA,40454,2460.1
,,,2020,306,Midea Group,40440,3504.6
,,,2020,307,Shandong Weiqiao Pioneering Group,40426,792.1
,,,2020,308,Bharat Petroleum,40410,430.9
,,,2020,309,Intesa Sanpaolo,40359,4680.7
,,,2020,310,Daiwa House Industry,40288,2148.6
,,,2020,311,Edeka Zentrale,39824,380.8
,,,2020,312,Fresenius,39632,2107.6
,,,2020,313,Oracle,39506,11083
,,,2020,314,Magna International,39431,1765
,,,2020,315,State Power Investment,39407,179.5
,,,2020,316,General Dynamics,39350,3484
,,,2020,317,SNCF Group,39308,-896.5
,,,2020,318,Deere,39258,3253
,,,2020,319,Maersk,39198,-84
,,,2020,320,DZ Bank,39144,1894.9
,,,2020,321,Nike,39117,4029
,,,2020,322,Progressive,39022,3970.3
,,,2020,323,Suning.com Group,38971,1424.8
,,,2020,324,Publix Super Markets,38463,3005.4
,,,2020,325,Caixa EconÃ´mica Federal,38407,5339.1
,,,2020,326,Barclays,38337,4177.9
,,,2020,327,CK Hutchison Holdings,38166,5083.7
,,,2020,328,Tsingshan Holding Group,38012,825.9
,,,2020,329,George Weston,37765,182.4
,,,2020,330,Enbridge,37735,4299.6
,,,2020,331,China Aerospace Science & Industry,37604,1958.9
,,,2020,332,Vale,37570,-1683
,,,2020,333,Meiji Yasuda Life Insurance,37466,1911.7
,,,2020,334,Coca-Cola,37266,8920
,,,2020,335,Massachusetts Mutual Life Insurance,37253,3700.7
,,,2020,336,Tata Motors,37242,-1702.5
,,,2020,337,Phoenix Group Holdings,37215,108.5
,,,2020,338,Mitsubishi Heavy Industries,37172,801.3
,,,2020,339,ABB,37015,1439
,,,2020,340,Tech Data,36998,374.5
,,,2020,341,ING Group,36990,4368.5
,,,2020,342,Jiangxi Copper,36980,169.5
,,,2020,343,J. Sainsbury,36831,193.1
,,,2020,344,World Fuel Services,36819,178.9
,,,2020,345,Power Corp. of Canada,36810,874.2
,,,2020,346,Honeywell International,36709,6143
,,,2020,347,ConocoPhillips,36670,7189
,,,2020,348,Mizuho Financial Group,36669,4125.8
,,,2020,349,Poste Italiane,36667,1502
,,,2020,350,Jiangsu Shagang Group,36488,717.5
,,,2020,351,China Aerospace Science & Technology,36209,2628.3
,,,2020,352,China Energy Engineering Group,36111,395.3
,,,2020,353,Yango Longking Group,35909,614.1
,,,2020,354,USAA,35617,4006.3
,,,2020,355,Fujitsu,35483,1472
,,,2020,356,Credit Suisse Group,35473,3402
,,,2020,357,Bank of Nova Scotia,35101,6314
,,,2020,358,Aisin,34810,221.3
,,,2020,359,LyondellBasell Industries,34727,3390
,,,2020,360,CRRC Group,34704,523.2
,,,2020,361,Taiwan Semiconductor Manufacturing,34620,11452.1
,,,2020,362,Sompo Holdings,34587,1126.9
,,,2020,363,Exelon,34438,2936
,,,2020,364,JFE Holdings,34305,-1818.8
,,,2020,365,Chubb,34186,4454
,,,2020,366,Anhui Conch Group,33916,1773
,,,2020,367,Northrop Grumman,33841,2248
,,,2020,368,Jinchuan Group,33824,298
,,,2020,369,China Huadian,33808,310.4
,,,2020,370,Louis Dreyfus,33786,230
,,,2020,371,Capital One Financial,33766,5546
,,,2020,372,Plains GP Holdings,33669,331
,,,2020,373,Cathay Financial Holding,33511,2030.5
,,,2020,374,Lâ€™OrÃ©al,33436,4197.2
,,,2020,375,Mitsubishi Chemical Holdings,33418,497.4
,,,2020,376,Quanta Computer,33313,515.8
,,,2020,377,AbbVie,33266,7882
,,,2020,378,British American Tobacco,33021,7278.7
,,,2020,379,Canon,32961,1147.6
,,,2020,380,China Electronics Technology Group,32948,1742.5
,,,2020,381,Schlumberger,32917,-10137
,,,2020,382,StoneX,32897,85.1
,,,2020,383,Enterprise Products Partners,32789,4591.3
,,,2020,384,Hyundai Mobis,32649,1965.6
,,,2020,385,China Electronics,32447,137.8
,,,2020,386,Bridgestone,32340,2684
,,,2020,387,Northwestern Mutual,32294,1268
,,,2020,388,3M,32136,4570
,,,2020,389,Suzuki Motor,32086,1234.5
,,,2020,390,Sumitomo Life Insurance,32063,47.9
,,,2020,391,China Taiping Insurance Group,31912,585.8
,,,2020,392,Abbott Laboratories,31904,3687
,,,2020,393,CHS,31901,829.9
,,,2020,394,Compass Group,31736,1416
,,,2020,395,Compal Electronics,31723,225.1
,,,2020,396,CRH,31682,2159
,,,2020,397,Inditex,31584,4063.3
,,,2020,398,Travelers,31581,2622
,,,2020,399,Mazda Motor,31551,111.6
,,,2020,400,Ansteel Group,31469,-208.9
,,,2020,401,Toshiba,31179,-1054.4
,,,2020,402,Fubon Financial Holding,31013,1892.7
,,,2020,403,SAP,30839,3717.1
,,,2020,404,Subaru,30758,1403.5
,,,2020,405,Jizhong Energy Group,30666,-114.3
,,,2020,406,Coles Group,30601,1025.6
,,,2020,407,Medtronic,30557,4631
,,,2020,408,CPC,30546,1049.7
,,,2020,409,Phoenix Pharma,30509,6.4
,,,2020,410,Air France-KLM Group,30432,324.6
,,,2020,411,Veolia Environnement,30431,699.4
,,,2020,412,Schneider Electric,30397,2700.8
,,,2020,413,Takeda Pharmaceutical,30272,406.9
,,,2020,414,CMA CGM,30254,-229.1
,,,2020,415,Commonwealth Bank of Australia,29967,6127.3
,,,2020,416,Medipal Holdings,29921,349.2
,,,2020,417,Sun Life Financial,29905,2044.7
,,,2020,418,Anglo American,29870,3547
,,,2020,419,CFE,29869,2260.7
,,,2020,420,Philip Morris International,29805,7185
,,,2020,421,Xiaomi,29795,1453.9
,,,2020,422,Shanghai Construction Group,29746,568.9
,,,2020,423,Taikang Insurance Group,29502,3211.5
,,,2020,424,Coop Group,29485,528.4
,,,2020,425,KB Financial Group,29470,2841.8
,,,2020,426,Suncor Energy,29385,2184.9
,,,2020,427,Kansai Electric Power,29288,1195.7
,,,2020,428,Shougang Group,29274,40
,,,2020,429,Bank of Montreal,29160,4333.3
,,,2020,430,HP,29135,1049
,,,2020,431,BT Group,29097,2202.8
,,,2020,432,La Poste,29082,920
,,,2020,433,China South Industries Group,29063,987.7
,,,2020,434,Haier Smart Home,29060,1187.9
,,,2020,435,Gree Electric Appliances,29024,3574.8
,,,2020,436,CJ Corp.,28986,229.2
,,,2020,437,PKN ORLEN Group,28977,1120.5
,,,2020,438,Johnson Controls International,28969,5674
,,,2020,439,Centrica,28934,-1305.4
,,,2020,440,Arrow Electronics,28917,-204.1
,,,2020,441,Shenzhen Investment Holdings,28855,1593.7
,,,2020,442,Xinjiang Guanghui Industry Investment,28711,89.8
,,,2020,443,Linde,28677,2285
,,,2020,444,Sumitomo Electric Industries,28578,668.9
,,,2020,445,International Airlines Group,28548,1919.5
,,,2020,446,GS Caltex,28541,388.4
,,,2020,447,Migros Group,28540,348.3
,,,2020,448,Huaxia Life Insurance,28494,122
,,,2020,449,NEC,28469,919.5
,,,2020,450,Safran,28424,2738.8
,,,2020,451,Wistron,28416,220
,,,2020,452,Danone,28303,2159
,,,2020,453,Chubu Electric Power,28200,1503.6
,,,2020,454,Shenghong Holding Group,27870,486.5
,,,2020,455,TongLing Nonferrous Metals Group,27819,-64.5
,,,2020,456,ViacomCBS,27812,3308
,,,2020,457,FinanciÃ¨re de l&#8217;Odet,27806,136.4
,,,2020,458,Shandong Iron & Steel Group,27755,21.7
,,,2020,459,Dollar General,27754,1712.6
,,,2020,460,Achmea,27593,537.2
,,,2020,461,Rajesh Exports,27590,170.1
,,,2020,462,Jinneng Holding Group,27557,-158.6
,,,2020,463,Mapfre Group,27520,681.9
,,,2020,464,China Datang,27464,426.7
,,,2020,465,U.S. Bancorp,27325,6914
,,,2020,466,Samsung Life Insurance,27291,838.7
,,,2020,467,Hailiang Group,27209,174.9
,,,2020,468,UniCredit Group,27169,3775.3
,,,2020,469,East Japan Railway,27102,1825.1
,,,2020,470,KoÃ§ Holding,27053,773.8
,,,2020,471,Michelin,27013,1959.8
,,,2020,472,Shanghai Pharmaceuticals Holding,27005,590.7
,,,2020,473,Heineken Holding,26828,1216.6
,,,2020,474,X5 Retail Group,26808,301.5
,,,2020,475,Holcim,26589,2234.8
,,,2020,476,China General Technology,26559,489.5
,,,2020,477,Starbucks,26509,3599.2
,,,2020,478,Randstad,26500,678.3
,,,2020,479,Adidas,26459,2211.7
,,,2020,480,Samsung C&T,26396,901.1
,,,2020,481,Fomento EconÃ³mico Mexicano,26319,1075.1
,,,2020,482,OMV Group,26259,1962.1
,,,2020,483,Adecco Group,26221,813.7
,,,2020,484,Shanxi Coking Coal Group,26179,211.6
,,,2020,485,Henan Energy & Chemical,26163,-305.8
,,,2020,486,Bristol-Myers Squibb,26145,3439
,,,2020,487,Nokia,26096,7.8
,,,2020,488,Shanxi LuAn Mining Group,26078,105.4
,,,2020,489,Guangxi Investment Group,26060,78.3
,,,2020,490,Westpac Banking,26001,4771.9
,,,2020,491,Naturgy Energy Group,25991,1568.1
,,,2020,492,China National Nuclear,25975,1104.7
,,,2020,493,US Foods,25939,385
,,,2020,494,Mondelez International,25868,3870
,,,2020,495,China National Coal Group,25846,307.7
,,,2020,496,Paccar,25600,2387.9
,,,2020,497,Thermo Fisher Scientific,25542,3696
,,,2020,498,Huayang New Material Technology Group,25491,-81.5
,,,2020,499,Shanxi Jincheng Anthracite Coal Mining Group,25386,22
,,,2021,1,Walmart,559151,13510
,,,2021,2,State Grid,386617.7,5580.4
,,,2021,3,Amazon,386064,21331
,,,2021,4,China National Petroleum,283957.6,4575.2
,,,2021,5,Sinopec Group,283727.6,6205.2
,,,2021,6,Apple,274515,57411
,,,2021,7,CVS Health,268706,7179
,,,2021,8,UnitedHealth Group,257141,15403
,,,2021,9,Toyota Motor,256721.7,21180.1
,,,2021,10,Volkswagen,253965,10103.5
,,,2021,11,Berkshire Hathaway,245510,42521
,,,2021,12,McKesson,238228,-4539
,,,2021,13,China State Construction Engineering,234425,3578.4
,,,2021,14,Saudi Aramco,229766.2,49286.8
,,,2021,15,Samsung Electronics,200734.4,22116.4
,,,2021,16,Ping An Insurance,191509.4,20738.9
,,,2021,17,AmerisourceBergen,189893.9,-3408.7
,,,2021,18,BP,183500,-20305
,,,2021,19,Royal Dutch Shell,183195,-21680
,,,2021,20,Industrial & Commercial Bank of China,182794.4,45783.4
,,,2021,21,Alphabet,182527,40269
,,,2021,22,Hon Hai Precision Industry,181945.4,3456.7
,,,2021,23,Exxon Mobil,181502,-22440
,,,2021,24,Daimler,175827.3,4132.8
,,,2021,25,China Construction Bank,172000.2,39282.5
,,,2021,26,AT&T,171760,-5176
,,,2021,27,Costco ,166761,4002
,,,2021,28,Cigna,160401,8458
,,,2021,29,Agricultural Bank of China,153884.6,31293.4
,,,2021,30,Cardinal Health,152922,-3696
,,,2021,31,Trafigura Group,146994.3,1699.2
,,,2021,32,China Life Insurance,144589.1,4648.1
,,,2021,33,Microsoft,143015,44281
,,,2021,34,Glencore,142338,-1903
,,,2021,35,China Railway Engineering Group,141383.6,1638.8
,,,2021,36,Walgreens,139537,456
,,,2021,37,EXOR Group,136185.9,-34.2
,,,2021,38,Allianz,136173.3,7756.2
,,,2021,39,Bank of China,134045.6,27952.1
,,,2021,40,Kroger,132498,2585
,,,2021,41,Home Depot,132110,12866
,,,2021,42,China Railway Construction,131992.3,1485.5
,,,2021,43,JP Morgan Chase,129503,29131
,,,2021,44,Huawei Investment & Holding,129183.5,9361.6
,,,2021,45,Verizon,128292,17801
,,,2021,46,AXA,128011.4,3605.2
,,,2021,47,Ford Motor,127144,-1279
,,,2021,48,Honda Motor,124240.6,6201.6
,,,2021,49,General Motors,122485,6427
,,,2021,50,Anthem,121867,4572
,,,2021,51,Mitsubishi,121542.7,1627.7
,,,2021,52,TotalEnergies,119704,-7242
,,,2021,53,Deutsche Telekom,115083.2,4737.8
,,,2021,54,BMW Group,112794.1,4301.4
,,,2021,55,Nippon Telegraph and Telephone,112670.3,8642.6
,,,2021,56,China Mobile Communications,111825.5,12920.1
,,,2021,57,Centene,111115,1808
,,,2021,58,Japan Post Holdings,110561.3,3945.3
,,,2021,59,JD.com,108087,7160.2
,,,2021,60,SAIC Motor,107555.2,2961
,,,2021,61,China Communications Construction,106867.7,1165
,,,2021,62,Fannie Mae,106437,11805
,,,2021,63,Alibaba Group Holding,105865.7,22224
,,,2021,64,Comcast,103564,10534
,,,2021,65,China Minmetals,102014.8,491.1
,,,2021,66,China FAW Group,101075.8,2866.5
,,,2021,67,Hengli Group,100773.1,2372.7
,,,2021,68,Amer International Group,100280.5,1851.7
,,,2021,69,China Resources,99437.6,4330.2
,,,2021,70,Shandong Energy Group,97860.6,1161.9
,,,2021,71,Itochu,97753.1,3786.8
,,,2021,72,China Baowu Steel Group,97643.1,3628.7
,,,2021,73,Assicurazioni Generali,97128.9,1987.2
,,,2021,74,China Post Group,96304.1,4698.4
,,,2021,75,Chevron,94692,-5543
,,,2021,76,Dell Technologies,94224,3250
,,,2021,77,Bank of America,93753,17894
,,,2021,78,Target,93561,4368
,,,2021,79,NestlÃ©,89852.9,13031.1
,,,2021,80,Lowe&#8217;s,89597,5835
,,,2021,81,Marathon Petroleum,88952,-9826
,,,2021,82,Citigroup,88839,11047
,,,2021,83,Hyundai Motor,88155.7,1207.5
,,,2021,84,Gazprom,87870.4,1872
,,,2021,85,Dongfeng Motor,86856.3,1115.5
,,,2021,86,Meta Platforms,85965,29146
,,,2021,87,Royal Ahold Delhaize,85157.9,1591.8
,,,2021,88,Sony,84893.1,11053.6
,,,2021,89,UPS,84628,1343
,,,2021,90,People&#8217;s Insurance Co. of China,84290.4,2903.8
,,,2021,91,China Southern Power Grid,83699,998.6
,,,2021,92,China National Offshore Oil,83296.3,4802.4
,,,2021,93,CrÃ©dit Agricole,82958.8,3067.4
,,,2021,94,Johnson & Johnson,82584,14714
,,,2021,95,Hitachi,82344.6,4731.8
,,,2021,96,Carrefour,82211.3,730.4
,,,2021,97,BNP Paribas,81632.4,8052.5
,,,2021,98,Bosch Group,81463.8,360.1
,,,2021,99,Tesco,81248,7948.4
,,,2021,100,AEON,81227.8,-670.5
,,,2021,101,China Energy Investment,80716.2,4102.1
,,,2021,102,HSBC Holdings,80429,5229
,,,2021,103,Wells Fargo,80303,3301
,,,2021,104,General Electric,79619,5704
,,,2021,105,ElectricitÃ© de France,78903.5,740.6
,,,2021,106,State Farm Insurance,78898,3738.9
,,,2021,107,PowerChina,78486.5,688.6
,,,2021,108,Intel,77867,20899
,,,2021,109,Sinopharm,77278.2,1258.7
,,,2021,110,Humana,77155,3367
,,,2021,111,Nippon Life Insurance,76984.3,3127.2
,,,2021,112,COFCO,76855.6,1377.6
,,,2021,113,Deutsche Post DHL Group,76122.1,3394.4
,,,2021,114,Mitsui,75562.4,3164.5
,,,2021,115,CITIC Group,74689.2,3842.5
,,,2021,116,Nissan Motor,74169.5,-4232.7
,,,2021,117,Munich Re Group,74074.5,1379.9
,,,2021,118,Enel,74047.1,2974
,,,2021,119,Dai-ichi Life Holdings,73841.5,3431.6
,,,2021,120,Banco Santander,73630.1,-9994.1
,,,2021,121,IBM,73620,5590
,,,2021,122,China Evergrande Group,73514,1170.4
,,,2021,123,U.S. Postal Service,73133,-9176
,,,2021,124,Beijing Automotive Group,72147.3,339.8
,,,2021,125,Lukoil,71856.2,209.9
,,,2021,126,China Telecommunications,71400.9,1886.1
,,,2021,127,China North Industries Group,71017.5,1510.9
,,,2021,128,Procter & Gamble,70950,13027
,,,2021,129,SK,70839.2,160.5
,,,2021,130,E.ON,70381.5,1158.8
,,,2021,131,PepsiCo,70372,7120
,,,2021,132,Tencent Holdings,69864.2,23166.2
,,,2021,133,Albertsons,69690.4,850.2
,,,2021,134,BASF,69464.3,-1207.8
,,,2021,135,FedEx,69217,1286
,,,2021,136,MetLife,67842,5407
,,,2021,137,Bank of Communications,67605.5,11409.3
,,,2021,138,Jinneng Holding Group,67534.8,8.2
,,,2021,139,Country Garden Holdings,67080.4,5075.6
,,,2021,140,Aviation Industry Corp. of China,66964.1,915.7
,,,2021,141,Freddie Mac,66228,7326
,,,2021,142,Greenland Holding Group,66095.8,2173.6
,,,2021,143,Phillips 66,65494,-3975
,,,2021,144,Lockheed Martin,65398,6833
,,,2021,145,Disney,65388,-2864
,,,2021,146,Archer Daniels Midland (ADM),64355,1772
,,,2021,147,Roche Group,64285,15228.8
,,,2021,148,Xiamen C&D,64111.8,952.6
,,,2021,149,Pacific Construction Group,64037.7,2218.1
,,,2021,150,Siemens,63935.5,4509.4
,,,2021,151,Sinochem,63544,809.1
,,,2021,152,Engie,63525.4,-1750.2
,,,2021,153,Legal & General Group,63324.5,2061
,,,2021,154,Panasonic,63191.3,1557.2
,,,2021,155,Reliance Industries,62912.1,6619.4
,,,2021,156,Brookfield Asset Management,62752,-134
,,,2021,157,Aviva,62579.3,3588.4
,,,2021,158,China Pacific Insurance (Group),61185.7,3562.9
,,,2021,159,Lenovo Group,60742.3,1178.3
,,,2021,160,China Vanke,60740.7,6016.7
,,,2021,161,ChemChina,60491.9,-815.6
,,,2021,162,China Merchants Bank,60433.2,14107.5
,,,2021,163,China Merchants Group,60280.7,5919.4
,,,2021,164,Valero Energy,60115,-1421
,,,2021,165,Marubeni,59735.2,2125.7
,,,2021,166,ENEOS Holdings,59540,1075.4
,,,2021,167,Toyota Tsusho,59517.1,1269.7
,,,2021,168,Zurich Insurance Group,59001,3834
,,,2021,169,Manulife Financial,58840.4,4377.9
,,,2021,170,Wuchan Zhongda Group,58545.7,397.9
,,,2021,171,Xiamen ITG Holding Group,58279,285.8
,,,2021,172,Aegon,58211.1,-166.4
,,,2021,173,Boeing,58158,-11873
,,,2021,174,China Poly Group,58072.3,1949.4
,,,2021,175,Unilever,57797.4,6359.3
,,,2021,176,Guangzhou Automobile Industry Group,57723.9,576.2
,,,2021,177,China National Building Material Group,57115.3,103
,,,2021,178,Prudential Financial,57033,-374
,,,2021,179,Airbus,56872.2,-1291
,,,2021,180,Mitsubishi UFJ Financial Group,56838.4,7329.8
,,,2021,181,Petrobras,56683,1141
,,,2021,182,HP,56639,2844
,,,2021,183,Raytheon Technologies,56587,-3519
,,,2021,184,SoftBank Group,56213.6,47052.6
,,,2021,185,Prudential PLC,55973,2118
,,,2021,186,Fortum,55850.1,2077.2
,,,2021,187,Tokyo Electric Power,55343.1,1706.4
,,,2021,188,Seven & I Holdings,54442.4,1692.4
,,,2021,189,XMXYG,54323.9,279
,,,2021,190,StoneX,54139.6,169.6
,,,2021,191,Alimentation Couche-Tard,54132.4,2353.6
,,,2021,192,LG Electronics,53625.4,1668.5
,,,2021,193,Goldman Sachs Group,53498,9459
,,,2021,194,China Everbright Group,53429,2570.9
,,,2021,195,Rosneft Oil,53375.8,2033.2
,,,2021,196,Industrial Bank,53313.9,9655.9
,,,2021,197,ArcelorMittal,53270,-733
,,,2021,198,Aluminum Corp. of China,53191.2,320.9
,,,2021,199,Sysco,52893.3,215.5
,,,2021,200,HBIS Group,52760.7,5.7
,,,2021,201,Shanghai Pudong Development Bank,52628.3,8443.6
,,,2021,202,JBS,52429,892.2
,,,2021,203,SociÃ©tÃ© GÃ©nÃ©rale,52068.3,-294
,,,2021,204,Morgan Stanley,52047,10996
,,,2021,205,State Bank of India,51919.4,3018.9
,,,2021,206,PTT,51647.5,1207.2
,,,2021,207,HCA Healthcare,51533,3754
,,,2021,208,Tokio Marine Holdings,51516.7,1526.3
,,,2021,209,Vodafone Group,51054.5,130.5
,,,2021,210,Christian Dior,50877.6,2202.6
,,,2021,211,Wilmar International,50526.8,1534.1
,,,2021,212,Indian Oil,50433,2915.5
,,,2021,213,AIA Group,50359,5779
,,,2021,214,Vinci,50270.2,1415.2
,,,2021,215,Kia,50155.1,1261
,,,2021,216,ENI,50121,-9839.1
,,,2021,217,KDDI,50115,6145.7
,,,2021,218,Novartis,49898,8072
,,,2021,219,Renault,49536.4,-9124.7
,,,2021,220,Shaanxi Coal & Chemical Industry,49314.3,120.8
,,,2021,221,Cisco Systems,49301,11214
,,,2021,222,Korea Electric Power,49102,1688
,,,2021,223,TelefÃ³nica,49082.9,1802.6
,,,2021,224,China Minsheng Banking,49076,4972.3
